,model
0,0.0
20969,0.08343317605123127
41938,0.14501664147235455
62907,0.20252719923819185
83876,0.25026603900434485
104845,0.2906342030884669
125814,0.3297970796241163
146783,0.3615757466388857
167752,0.3925050619627336
188721,0.4160279614463797
209690,0.43683925948596053
230659,0.4550746724142155
251628,0.4734776271824873
272597,0.49095123423296316
293566,0.5050945637091114
314535,0.5181783514956448
335504,0.5317476799900529
356473,0.5430592861416216
377442,0.5543695198474854
398411,0.5671347157759616
419380,0.5783183630748793
440349,0.5900389768839522
461318,0.6002092874508536
482287,0.6095632302160209
503256,0.6198984332317823
524225,0.6288308958431506
545194,0.6396856700001526
566163,0.6482896900309949
587132,0.6559248901759868
608101,0.6650084825607042
629070,0.6736421846280707
650039,0.6818437290576203
671008,0.6895967763333546
691977,0.6977302081958053
712946,0.7046358921067966
733915,0.7108563946025263
754884,0.7177835277975508
775853,0.7257123547176103
796822,0.7340025466893116
817791,0.7405886606638281
838760,0.7468491180482237
859729,0.7538553690209547
880698,0.7600926785607935
901667,0.766400750327074
922636,0.7725282936195974
943605,0.7782982772581403
964574,0.7850974594903456
985543,0.7908094842684429
1006512,0.7958862579789165
1027481,0.8003126447657486
1048450,0.8043551135917071
1069419,0.8096588747368786
1090388,0.8141413279112925
1111357,0.8191326880131587
1132326,0.8227123237616472
1153295,0.8272018272314614
1174264,0.8317750954655552
1195233,0.8354129122626581
1216202,0.8387283244528676
1237171,0.8423768603206027
1258140,0.8461097108301148
1279109,0.8499825925959282
1300078,0.8526483672016985
1321047,0.855872838923357
1342016,0.8585268821744039
1362985,0.8617466684619007
1383954,0.8645112402302756
1404923,0.8679337182644847
1425892,0.8707195780585332
1446861,0.8741478364049888
1467830,0.8768479447241253
1488799,0.8792391538714899
1509768,0.8819471046632031
1530737,0.8848717574553083
1551706,0.8871334290005422
1572675,0.890121381714596
1593644,0.8923406655532155
1614613,0.8950837573197955
1635582,0.897451072105726
1656551,0.9004819090237822
1677520,0.9026092659373269
1698489,0.904425985268919
1719458,0.9065761610238126
1740427,0.908026294749191
1761396,0.9092214675640216
1782365,0.9110858263938567
1803334,0.912780362404488
1824303,0.9140542506159669
1845272,0.9155053790677841
1866241,0.9167370386247577
1887210,0.9182860640083093
1908179,0.9197350493889038
1929148,0.9212020473794164
1950117,0.9231774667590946
1971086,0.9246326346988558
1992055,0.9254852215768233
2013024,0.9266553654761335
2033993,0.9275597118899501
2054962,0.929303278520426
2075931,0.9299062507793691
2096900,0.9310125278269993
2117869,0.9324293458272438
2138838,0.9334705702422748
2159807,0.9341803040833412
2180776,0.9349312587308864
2201745,0.936025089955413
2222714,0.9368938029217786
2243683,0.9377617911665332
2264652,0.9383115252948973
2285621,0.9390932748686579
2306590,0.9396961448171384
2327559,0.9404445445246041
2348528,0.9414236421757989
2369497,0.9417463079845341
2390466,0.9421954611366941
2411435,0.9428602392181504
2432404,0.9431210986214259
2453373,0.9434830672030394
2474342,0.9442250618499776
2495311,0.9451576660056341
2516280,0.9459999655460928
2537249,0.9467114846618694
2558218,0.947560565097648
2579187,0.9480851827163417
2600156,0.948607677223482
2621125,0.9490034635326303
2642094,0.9494440818040177
2663063,0.9499121825806325
2684032,0.9506460335861814
2705001,0.9514142456667347
2725970,0.9520178655604019
2746939,0.9529036753060257
2767908,0.9535373488369702
2788877,0.9539841348694198
2809846,0.9546411628453744
2830815,0.9553503369463506
2851784,0.9561672634623077
2872753,0.9571292997631715
2893722,0.9575437595090804
2914691,0.9578505606702616
2935660,0.9586097316181785
2956629,0.9592246972085814
2977598,0.9597611070998091
2998567,0.9602845988237204
3019536,0.9607129297787477
3040505,0.9615962445588654
3061474,0.961985137711995
3082443,0.9623845618056283
3103412,0.9631592622832464
3124381,0.9635641679150793
3145350,0.9643157171221082
3166319,0.9651326901542878
3187288,0.9657996904794798
3208257,0.9661257621814275
3229226,0.9666063568499709
3250195,0.9673078674927964
3271164,0.9674388255129763
3292133,0.967655073582355
3313102,0.9683055950194277
3334071,0.9685852766982445
3355040,0.969179742156691
3376009,0.9696172777579136
3396978,0.9701011132111008
3417947,0.9702998469251248
3438916,0.9705006086415663
3459885,0.9708306500079805
3480854,0.971117663614522
3501823,0.9714998302568553
3522792,0.9717577008437127
3543761,0.9717873245678603
3564730,0.9719876730605197
3585699,0.9721299892646883
3606668,0.972568952153123
3627637,0.9728270084874369
3648606,0.9731309993332488
3669575,0.9733520857401136
3690544,0.9734171677658103
3711513,0.97380035916234
3732482,0.9742240700404349
3753451,0.9745123542894643
3774420,0.9749228282451046
3795389,0.9752473279680949
3816358,0.9757711466008876
3837327,0.9761959525523363
3858296,0.9765506702485938
3879265,0.9771299038283822
3900234,0.9773850753320696
3921203,0.9781261133949973
3942172,0.9783184092318076
3963141,0.9791906787115667
3984110,0.9805216744678322
4005079,0.9818368195209896
4026048,0.9827767987514783
4047017,0.9843692793380285
4067986,0.9862718277738214
4088955,0.9872189751245196
4109924,0.9877775577798941
4130893,0.9888004811044517
4151862,0.991605079255544
4172831,0.9944317621587444
4193800,0.9998029048541378
